SpeciesID,DNA_Tags,BirthGeneration,ParentID,PeakPopulation,ExtinctionGeneration,Notes,IsCivilization
物种-000,Life,1,,23049,447,创始原型,False
物种-001,"Life, Trade",1,物种-000,12,1,从 物种-000 变异而来,False
物种-002,"Aggression, Life",1,物种-000,8,1,从 物种-000 变异而来,False
物种-003,"CreateArt, Life",1,物种-000,11,1,从 物种-000 变异而来,False
物种-004,"Life, Sense",1,物种-000,10,1,从 物种-000 变异而来,False
物种-005,"Life, Prediction",1,物种-000,16,1,从 物种-000 变异而来,False
物种-006,"Hierarchy, Life",1,物种-000,13,1,从 物种-000 变异而来,False
物种-007,"Life, SelfOrganize",1,物种-000,9,1,从 物种-000 变异而来,False
物种-008,"Intuition, Life",1,物种-000,20,1,从 物种-000 变异而来,False
物种-009,"CreateUniverse, Life",1,物种-000,13,1,从 物种-000 变异而来,False
物种-010,"Inquiry_Meaning_Of_Existence, Life",1,物种-000,10,1,从 物种-000 变异而来,False
物种-011,"Creativity, Life",1,物种-000,5,1,从 物种-000 变异而来,False
物种-012,"Life, Reasoning",1,物种-000,10,1,从 物种-000 变异而来,False
物种-013,"ComplexStructure, Life",2,物种-000,5,2,从 物种-000 变异而来,False
物种-014,"Life, Memory",2,物种-000,11,2,从 物种-000 变异而来,False
物种-015,"Cooperate, Life",2,物种-000,6,2,从 物种-000 变异而来,False
物种-016,"Life, QuestionReality",2,物种-000,11,2,从 物种-000 变异而来,False
物种-017,"Life, Past",2,物种-000,5,2,从 物种-000 变异而来,False
物种-018,"Knowledge, Life",2,物种-000,3,2,从 物种-000 变异而来,False
物种-019,"Leadership, Life",2,物种-000,3,2,从 物种-000 变异而来,False
物种-020,"Life, Reflection",2,物种-000,10,2,从 物种-000 变异而来,False
物种-021,"Innovation, Life",2,物种-000,10,2,从 物种-000 变异而来,False
物种-022,"Life, MetaThinking",2,物种-000,6,2,从 物种-000 变异而来,False
物种-023,"Life, Organize",2,物种-000,4,2,从 物种-000 变异而来,False
物种-024,"Life, Synthesis",2,物种-000,6,2,从 物种-000 变异而来,False
物种-025,"Culture, Life",2,物种-000,8,2,从 物种-000 变异而来,False
物种-026,"Civilization, Life",2,物种-000,5,2,从 物种-000 变异而来,False
物种-027,"Conflict, Life",2,物种-000,6,2,从 物种-000 变异而来,False
物种-028,"Flow, Life",2,物种-000,5,2,从 物种-000 变异而来,False
物种-029,"Life, Transcendence",2,物种-000,12,2,从 物种-000 变异而来,False
物种-030,"Harmony, Life",2,物种-000,5,2,从 物种-000 变异而来,False
物种-031,"Life, Support",2,物种-000,9,2,从 物种-000 变异而来,False
物种-032,"Life, Reproduce",2,物种-000,9,2,从 物种-000 变异而来,False
物种-033,"Imagination, Life",2,物种-000,9,2,从 物种-000 变异而来,False
物种-034,"Life, ToolUse",2,物种-000,13,2,从 物种-000 变异而来,False
物种-035,"Life, Structure",2,物种-000,3,2,从 物种-000 变异而来,False
物种-036,"Act, Life",2,物种-000,9,2,从 物种-000 变异而来,False
物种-037,"Goal, Life",3,物种-000,12,3,从 物种-000 变异而来,False
物种-038,"Consume, Life",3,物种-000,10,3,从 物种-000 变异而来,False
物种-039,"Future, Life",3,物种-000,1,3,从 物种-000 变异而来,False
物种-040,"Communicate, Life",3,物种-000,2,3,从 物种-000 变异而来,False
物种-041,"Life, SeekOrigin",3,物种-000,7,3,从 物种-000 变异而来,False
物种-042,"ExtractConsciousness, Life",3,物种-000,4,3,从 物种-000 变异而来,False
物种-043,"Adapt, Life",3,物种-000,1,3,从 物种-000 变异而来,False
物种-044,"Bond, Life",3,物种-000,7,3,从 物种-000 变异而来,False
物种-045,"Learning, Life",3,物种-000,6,3,从 物种-000 变异而来,False
物种-046,"Life, Mutate",4,物种-000,2,4,从 物种-000 变异而来,False
物种-047,"FeelEmotion, Life",5,物种-000,3,5,从 物种-000 变异而来,False
物种-048,"Life, QuestionReality, Synthesis",5,物种-024,1,5,从 物种-024 变异而来,False
物种-049,"Life, SelfAwareness",5,物种-000,3,5,从 物种-000 变异而来,False
物种-050,"Inquiry_Meaning_Of_Existence, Life, Synthesis",6,物种-010,0,6,从 物种-010 变异而来,False
